,code,gender,age,home country,actual country,E,A,C,N,O
0,maba09,male,24,italy,italy,28,30,24,33,25
1,soze31,female,23,austria,germany,30,25,33,24,17
2,nipe10,male,27,austria,austria,21,28,23,23,27
3,dino02,female,30,germany,austria,9,35,28,26,16
4,jomo20,female,30,canada,canada,31,33,40,26,34
5,mama13,female,24,croatia,croatia,24,35,35,24,26
6,moob25,male,24,austria,austria,7,15,25,14,27
7,vamo24,female,31,italy,austria,22,39,29,24,25
8,thko03,male,35,canada,austria,21,25,32,28,40
9,mile27,male,25,austria,austria,28,20,26,27,40
10,vasa28,female,23,mexico,mexico,21,35,24,9,30
